SampleID,DistrictID,CategoryID,TestResult,AdulterantFound,DateTested
SMP000001,9,12,Fail,Synthetic Color,2024-01-01
SMP000002,25,3,Pass,None,2024-01-01
SMP000003,20,5,Pass,None,2024-01-01
SMP000004,17,11,Pass,None,2024-01-01
SMP000005,5,8,Pass,None,2024-01-01
SMP000006,5,12,Pass,None,2024-01-01
SMP000007,2,16,Pass,None,2024-01-01
SMP000008,23,2,Pass,None,2024-01-01
SMP000009,17,12,Pass,None,2024-01-01
SMP000010,19,4,Pass,None,2024-01-01
SMP000011,1,6,Pass,None,2024-01-01
SMP000012,25,1,Fail,Formalin,2024-01-01
SMP000013,23,2,Fail,Chalk Powder,2024-01-01
SMP000014,6,5,Pass,None,2024-01-01
SMP000015,5,5,Fail,Starch,2024-01-01
SMP000016,5,15,Pass,None,2024-01-01
SMP000017,8,12,Pass,None,2024-01-01
SMP000018,15,16,Pass,None,2024-01-01
SMP000019,12,10,Pass,None,2024-01-01
SMP000020,8,4,Fail,Starch,2024-01-01
SMP000021,17,5,Pass,None,2024-01-01
SMP000022,4,5,Fail,Starch,2024-01-01
SMP000023,8,5,Pass,None,2024-01-01
SMP000024,9,11,Pass,None,2024-01-01
SMP000025,13,9,Pass,None,2024-01-01
SMP000026,22,6,Fail,Synthetic Color,2024-01-01
SMP000027,5,3,Pass,None,2024-01-01
SMP000028,15,1,Pass,None,2024-01-01
SMP000029,17,4,Fail,Urea,2024-01-02
SMP000030,2,2,Pass,None,2024-01-02
SMP000031,17,13,Fail,Chalk Powder,2024-01-02
SMP000032,5,2,Pass,None,2024-01-02
SMP000033,2,12,Pass,None,2024-01-02
SMP000034,25,6,Pass,None,2024-01-02
SMP000035,25,1,Pass,None,2024-01-02
SMP000036,22,13,Pass,None,2024-01-02
SMP000037,8,10,Pass,None,2024-01-02
SMP000038,3,4,Pass,None,2024-01-02
SMP000039,19,15,Pass,None,2024-01-02
SMP000040,12,1,Pass,None,2024-01-02
SMP000041,4,4,Pass,None,2024-01-02
SMP000042,14,12,Pass,None,2024-01-02
SMP000043,1,12,Pass,None,2024-01-02
SMP000044,24,5,Pass,None,2024-01-02
SMP000045,7,1,Pass,None,2024-01-02
SMP000046,18,14,Pass,None,2024-01-02
SMP000047,8,5,Fail,Detergent,2024-01-02
SMP000048,15,3,Pass,None,2024-01-02
SMP000049,16,8,Pass,None,2024-01-02
SMP000050,5,15,Pass,None,2024-01-02
SMP000051,25,1,Pass,None,2024-01-02
SMP000052,21,13,Pass,None,2024-01-02
SMP000053,25,9,Pass,None,2024-01-02
SMP000054,24,6,Pass,None,2024-01-02
SMP000055,17,12,Pass,None,2024-01-02
SMP000056,24,16,Fail,Detergent,2024-01-03
SMP000057,3,4,Pass,None,2024-01-03
SMP000058,5,3,Pass,None,2024-01-03
SMP000059,2,15,Fail,Starch,2024-01-03
SMP000060,9,11,Pass,None,2024-01-03
SMP000061,10,7,Fail,Starch,2024-01-03
SMP000062,7,9,Pass,None,2024-01-03
SMP000063,23,12,Fail,Starch,2024-01-03
SMP000064,9,13,Pass,None,2024-01-03
SMP000065,7,15,Pass,None,2024-01-03
SMP000066,16,6,Fail,Synthetic Color,2024-01-03
SMP000067,5,5,Pass,None,2024-01-03
SMP000068,22,11,Pass,None,2024-01-03
SMP000069,2,6,Pass,None,2024-01-03
SMP000070,26,10,Pass,None,2024-01-03
SMP000071,21,6,Pass,None,2024-01-03
SMP000072,5,3,Pass,None,2024-01-03
SMP000073,1,7,Pass,None,2024-01-03
SMP000074,22,11,Pass,None,2024-01-03
SMP000075,19,13,Pass,None,2024-01-03
SMP000076,20,8,Pass,None,2024-01-03
SMP000077,21,3,Pass,None,2024-01-03
SMP000078,2,6,Pass,None,2024-01-03
SMP000079,9,13,Pass,None,2024-01-03
SMP000080,4,6,Fail,Detergent,2024-01-03
SMP000081,23,11,Fail,Formalin,2024-01-03
SMP000082,17,8,Pass,None,2024-01-03
SMP000083,9,4,Fail,Urea,2024-01-03
SMP000084,2,13,Pass,None,2024-01-04
SMP000085,8,2,Pass,None,2024-01-04
SMP000086,9,8,Pass,None,2024-01-04
SMP000087,20,4,Fail,Formalin,2024-01-04
SMP000088,18,1,Pass,None,2024-01-04
SMP000089,24,8,Pass,None,2024-01-04
SMP000090,13,8,Fail,Urea,2024-01-04
SMP000091,4,12,Pass,None,2024-01-04
SMP000092,19,12,Pass,None,2024-01-04
SMP000093,21,12,Pass,None,2024-01-04
