CaseID,DistrictID,Date,CaseType,PatientCount,SeverityLevel
HC00001,11,8/20/2025,Food Poisoning,26,1
HC00002,13,12/17/2024,Diarrheal Disease,37,4
HC00003,4,6/2/2024,Food Poisoning,23,2
HC00004,24,10/29/2025,Typhoid,13,2
HC00005,20,9/14/2025,Typhoid,28,5
HC00006,5,9/21/2024,Typhoid,39,5
HC00007,19,1/14/2024,Food Poisoning,6,2
HC00008,5,6/26/2024,Typhoid,38,2
HC00009,11,9/3/2025,Food Poisoning,2,1
HC00010,1,4/30/2024,Typhoid,15,4
HC00011,19,4/20/2024,Food Poisoning,29,4
HC00012,11,1/19/2025,Food Poisoning,20,2
HC00013,21,1/27/2024,Food Poisoning,34,3
HC00014,11,9/20/2024,Typhoid,11,3
HC00015,10,9/30/2025,Food Poisoning,10,2
HC00016,8,5/2/2025,Diarrheal Disease,8,2
HC00017,14,10/30/2024,Typhoid,20,1
HC00018,25,4/28/2024,Diarrheal Disease,12,1
HC00019,7,9/13/2024,Diarrheal Disease,16,5
HC00020,12,10/11/2024,Typhoid,27,2
HC00021,18,1/11/2024,Food Poisoning,21,3
HC00022,3,8/14/2025,Food Poisoning,35,5
HC00023,14,4/2/2025,Food Poisoning,2,3
HC00024,2,3/5/2025,Diarrheal Disease,10,1
HC00025,20,3/21/2024,Typhoid,28,4
HC00026,2,7/28/2025,Food Poisoning,1,4
HC00027,11,9/5/2025,Food Poisoning,15,5
HC00028,25,9/15/2024,Diarrheal Disease,26,5
HC00029,17,6/9/2024,Diarrheal Disease,1,3
HC00030,13,1/22/2024,Food Poisoning,23,5
HC00031,22,12/16/2025,Typhoid,19,4
HC00032,25,3/16/2025,Typhoid,27,1
HC00033,25,4/30/2024,Diarrheal Disease,31,4
HC00034,8,3/3/2025,Typhoid,7,2
HC00035,2,12/31/2024,Food Poisoning,14,2
HC00036,19,11/17/2024,Typhoid,5,1
HC00037,19,10/26/2025,Diarrheal Disease,28,1
HC00038,14,7/8/2025,Food Poisoning,21,1
HC00039,3,5/10/2025,Food Poisoning,34,4
HC00040,19,10/16/2025,Food Poisoning,2,4
HC00041,6,8/24/2024,Food Poisoning,1,3
HC00042,22,4/1/2024,Diarrheal Disease,9,2
HC00043,5,10/14/2024,Diarrheal Disease,34,1
HC00044,6,2/5/2025,Typhoid,36,5
HC00045,19,6/18/2025,Typhoid,11,3
HC00046,25,12/5/2025,Food Poisoning,16,2
HC00047,14,7/29/2025,Diarrheal Disease,10,3
HC00048,12,2/11/2024,Diarrheal Disease,19,4
HC00049,17,5/21/2024,Food Poisoning,9,5
HC00050,14,6/29/2024,Food Poisoning,16,2
HC00051,8,5/24/2025,Diarrheal Disease,37,1
HC00052,18,11/24/2025,Food Poisoning,19,5
