InspectionID,VendorType,ViolationType,FineImposed,Date,Risk_level
INSP00001,Street Vendor,No License,7953,2025-12-31,High Risk
INSP00002,Street Vendor,No License,5244,2025-10-07,High Risk
INSP00003,Retail,Expired Product,596,2025-03-18,High Risk
INSP00004,Retail,Poor Hygiene,3674,2024-07-28,Medium Risk
INSP00005,Street Vendor,Poor Hygiene,3301,2025-01-12,Medium Risk
INSP00006,Restaurant,No License,7054,2025-08-20,High Risk
INSP00007,Restaurant,Expired Product,9519,2025-03-10,High Risk
INSP00008,Restaurant,Expired Product,7110,2024-04-11,High Risk
INSP00009,Retail,No License,9389,2024-06-23,High Risk
INSP00010,Retail,No License,3154,2024-06-19,High Risk
INSP00011,Restaurant,Poor Hygiene,7026,2025-09-19,Medium Risk
INSP00012,Restaurant,No License,8868,2025-04-09,High Risk
INSP00013,Street Vendor,Poor Hygiene,6449,2025-08-13,Medium Risk
INSP00014,Street Vendor,No License,828,2025-04-21,High Risk
INSP00015,Street Vendor,Expired Product,7278,2025-12-16,High Risk
INSP00016,Street Vendor,No License,6442,2024-03-20,High Risk
INSP00017,Restaurant,No License,8344,2025-06-23,High Risk
INSP00018,Street Vendor,Poor Hygiene,6683,2024-10-12,Medium Risk
INSP00019,Restaurant,No License,6867,2025-04-27,High Risk
INSP00020,Restaurant,No License,8238,2024-10-17,High Risk
INSP00021,Retail,Expired Product,900,2025-07-24,High Risk
INSP00022,Street Vendor,No License,9524,2024-12-29,High Risk
INSP00023,Retail,No License,1884,2024-08-29,High Risk
INSP00024,Restaurant,Poor Hygiene,1267,2024-06-26,Medium Risk
INSP00025,Restaurant,No License,2721,2025-06-07,High Risk
INSP00026,Street Vendor,Expired Product,8338,2025-12-22,High Risk
INSP00027,Retail,Poor Hygiene,8884,2024-02-27,Medium Risk
INSP00028,Restaurant,No License,8989,2025-04-09,High Risk
INSP00029,Retail,Expired Product,6731,2025-09-15,High Risk
INSP00030,Retail,No License,5424,2025-06-08,High Risk
INSP00031,Retail,Expired Product,4378,2025-12-26,High Risk
INSP00032,Street Vendor,Poor Hygiene,7665,2025-06-13,Medium Risk
INSP00033,Restaurant,No License,1749,2024-02-15,High Risk
INSP00034,Restaurant,Expired Product,2118,2025-03-15,High Risk
INSP00035,Retail,Poor Hygiene,7235,2024-05-16,Medium Risk
INSP00036,Restaurant,No License,596,2024-10-02,High Risk
INSP00037,Street Vendor,Expired Product,8451,2024-03-03,High Risk
INSP00038,Street Vendor,No License,7900,2024-11-14,High Risk
INSP00039,Street Vendor,Expired Product,868,2024-10-18,High Risk
INSP00040,Restaurant,Expired Product,9150,2025-09-01,High Risk
INSP00041,Retail,No License,7003,2024-07-23,High Risk
